#schema_version: 1
Quantity,Name,Simple Name,Set,Set Code,Card Number,Language,Finish,Rarity,TCGPlayer Product ID,TCGPlayer SKU,TCGPlayer Price Each,TCGPlayer Fetch Date,Booster,Frame Effects,Full Art?,Promo Types,Set Type,Color Indicator,Mana Cost,Type Line,Oracle Text,Colors,Oracle ID,Layout,Arena ID,MTGO ID,Multiverse IDs,cardmarket ID,Scryfall ID,Defense,Loyalty,Power,Toughness,CMC,Color Identity,EDHREC Rank,Keywords,Penny Rank,Produced Mana,Reprint?,Reserved?,Scryfall Set Code,Scryfall URL,Standard Legal?,Future Legal?,Historic Legal?,Timeless Legal?,Gladiator Legal?,Pioneer Legal?,Explorer Legal?,Modern Legal?,Legacy Legal?,Pauper Legal?,Vintage Legal?,Penny Legal?,Commander Legal?,Oathbreaker Legal?,Brawl Legal?,Standard Brawl Legal?,Alchemy Legal?,Pauper Commander Legal?,Duel Legal?,Old School Legal?,Premodern Legal?,PreDH Legal?,Scryfall Fetch Date
1,"Absorb (Borderless)","Absorb","Dominaria Remastered",DMR,443,English,Normal,Rare,458026,6814056,0.3,2024-02-03T21:45:38.000-09:00,false,"inverted",true,"boosterfun",masters,,{W}{U}{U},Instant,"Counter target spell. You gain 3 life.",UW,132CA99A-A3C7-4ED6-B4D0-0EDCD7140CA2,normal,,108115,"600994",,87A7FF06-32B7-48CD-99BB-A91F7F43538D,,,,,3,UW,4021,"",,,true,false,dmr,https://scryfall.com/card/dmr/443/absorb?utm_source=api,not_legal,not_legal,legal,legal,legal,legal,legal,legal,legal,not_legal,legal,not_legal,legal,legal,legal,not_legal,not_legal,not_legal,legal,not_legal,legal,legal,2024-02-06T13:01:11.781-09:00
1,"Abuelo, Ancestral Echo (Showcase)","Abuelo, Ancestral Echo","The Lost Caverns of Ixalan",LCI,297,English,Normal,Rare,524237,7502918,0.12,2024-02-03T21:45:38.000-09:00,true,"showcase, legendary",false,"boosterfun",expansion,,{1}{W}{U},Legendary Creature — Spirit,"Flying, ward {2}; {1}{W}{U}: Exile another target creature or artifact you control. Return it to the battlefield under its owner's control at the beginning of the next end step.",UW,EAA9BAAC-72F2-4BDE-9146-860878D9860B,normal,,117486,"636505",,E0BCC6F3-BAE4-485C-82DA-56C15C97C7F8,,,2,2,3,UW,11356,"Flying, Ward",5292,,false,false,lci,https://scryfall.com/card/lci/297/abuelo-ancestral-echo?utm_source=api,legal,legal,legal,legal,legal,legal,legal,legal,legal,not_legal,legal,legal,legal,legal,legal,legal,legal,not_legal,legal,not_legal,not_legal,not_legal,2024-02-06T13:01:11.671-09:00
1,"Ankh of Mishra","Ankh of Mishra","Fifth Edition",5ED,348,English,Normal,Rare,2024,16145,3.34,2024-02-03T21:45:38.000-09:00,true,"",false,"",core,,{2},Artifact,"Whenever a land enters the battlefield, Ankh of Mishra deals 2 damage to that land's controller.",,63C1EDA1-3E6F-4E9C-ADF3-A43164DF98BB,normal,,,"3760",9719,E2D917DD-243E-4DF2-9A44-1C2EAE6FF859,,,,,2,,4756,"",2453,,true,false,5ed,https://scryfall.com/card/5ed/348/ankh-of-mishra?utm_source=api,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,legal,not_legal,legal,legal,legal,legal,not_legal,not_legal,not_legal,not_legal,legal,not_legal,legal,legal,2024-02-06T13:01:11.722-09:00
1,"Arcane Laboratory","Arcane Laboratory","7th Edition",7ED,60,English,Normal,Uncommon,2820,16911,1.17,2024-02-03T21:45:38.000-09:00,true,"",false,"",core,,{2}{U},Enchantment,"Each player can't cast more than one spell each turn.",U,F5E3C26C-C28C-455F-A682-2597E4B92D10,normal,,15356,"25562",2822,F9E3BCD7-60F8-472A-ADA0-C3147CF06588,,,,,3,U,6491,"",2063,,true,false,7ed,https://scryfall.com/card/7ed/60/arcane-laboratory?utm_source=api,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,legal,not_legal,legal,not_legal,legal,legal,not_legal,not_legal,not_legal,not_legal,legal,not_legal,legal,legal,2024-02-06T13:01:11.745-09:00
1,"Arena of the Ancients","Arena of the Ancients","Chronicles",CHR,91,English,Normal,Rare,3358,17405,0.69,2024-02-03T21:45:38.000-09:00,true,"",false,"",masters,,{3},Artifact,"Legendary creatures don't untap during their controllers' untap steps.; When Arena of the Ancients enters the battlefield, tap all legendary creatures.",,12584F75-77C1-4B6B-AE9D-1882792B6B94,normal,,,"2775",7658,52BF69CA-B974-4620-8483-B0BA33DB26A5,,,,,3,,15622,"",,,true,false,chr,https://scryfall.com/card/chr/91/arena-of-the-ancients?utm_source=api,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,legal,not_legal,legal,not_legal,legal,legal,not_legal,not_legal,not_legal,not_legal,legal,legal,legal,legal,2024-02-06T13:01:11.737-09:00
1,"Azorius Guildgate","Azorius Guildgate","Modern Masters 2017",MM3,230,English,Normal,Common,128285,3315942,0.1,2024-02-03T21:45:38.000-09:00,true,"",false,"",masters,,,Land — Gate,"Azorius Guildgate enters the battlefield tapped.; {T}: Add {W} or {U}.",,AD1712D8-809F-410C-8B91-FFE6FB8A69A1,normal,,63471,"426055",295799,27ADDB51-F447-458A-8B3D-89DE0A4C542A,,,,,0,UW,1401,"",719,UW,true,false,mm3,https://scryfall.com/card/mm3/230/azorius-guildgate?utm_source=api,not_legal,not_legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,legal,not_legal,not_legal,legal,legal,not_legal,not_legal,not_legal,2024-02-06T13:01:11.754-09:00
1,"Barbed Wire","Barbed Wire","Mercadian Masques",MMQ,287,English,Normal,Uncommon,6432,19928,0.49,2024-02-03T21:45:38.000-09:00,true,"",false,"",expansion,,{3},Artifact,"At the beginning of each player's upkeep, Barbed Wire deals 1 damage to that player.; {2}: Prevent the next 1 damage that would be dealt by Barbed Wire this turn.",,CDC6E187-73D2-4F79-A0FF-DAA6D2DE5BDB,normal,,13583,"19883",11660,BE9E2E59-1527-4C61-9CC9-DCAF1181BD43,,,,,3,,12927,"",5538,,false,false,mmq,https://scryfall.com/card/mmq/287/barbed-wire?utm_source=api,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,legal,not_legal,legal,not_legal,legal,legal,not_legal,not_legal,not_legal,not_legal,legal,not_legal,legal,legal,2024-02-06T13:01:11.732-09:00
1,"Blast Zone","Blast Zone","The Brothers' War",BRO,258,English,Foil,Rare,451849,6671982,0.37,2024-02-03T21:45:38.000-09:00,true,"",false,"",expansion,,,Land,"Blast Zone enters the battlefield with a charge counter on it.; {T}: Add {C}.; {X}{X}, {T}: Put X charge counters on Blast Zone.; {3}, {T}, Sacrifice Blast Zone: Destroy each nonland permanent with mana value equal to the number of charge counters on Blast Zone.",,393A254F-BE31-431A-9341-A51286F8CBCE,normal,82745,105140,"583837",682028,C5E911BE-8166-4263-8C57-E86358B8CEB8,,,,,0,,1098,"",,C,true,false,bro,https://scryfall.com/card/bro/258/blast-zone?utm_source=api,legal,legal,legal,legal,legal,legal,legal,legal,legal,not_legal,legal,not_legal,legal,legal,legal,legal,legal,not_legal,legal,not_legal,not_legal,not_legal,2024-02-06T13:01:11.762-09:00
1,"Caltrops","Caltrops","Urza's Destiny",UDS,129,English,Normal,Uncommon,6150,19646,4.14,2024-02-03T21:45:38.000-09:00,true,"",false,"",expansion,,{3},Artifact,"Whenever a creature attacks, Caltrops deals 1 damage to it.",,B13F97B3-56AE-4131-A93B-B162C8FF7CCA,normal,,12931,"15252",10829,A9CF74E4-31D2-4CD2-8F3A-B2141301F686,,,,,3,,6166,"",7169,,false,false,uds,https://scryfall.com/card/uds/129/caltrops?utm_source=api,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,not_legal,legal,not_legal,legal,not_legal,legal,legal,not_legal,not_legal,not_legal,not_legal,legal,not_legal,legal,legal,2024-02-06T13:01:11.720-09:00
1,"Cephalopod Sentry","Cephalopod Sentry","Phyrexia: All Will Be One",ONE,198,English,Foil,Uncommon,479488,6958588,0.11,2024-02-03T21:45:38.000-09:00,true,"",false,"",expansion,,{2}{W}{U},Artifact Creature — Phyrexian Squid,"Flying; Cephalopod Sentry's power is equal to the number of artifacts you control.",UW,E8270C29-1887-4D3F-B70F-6B79ADA8FE47,normal,83898,106611,"602728",694777,30C22EB9-5056-4C0B-A5D8-41E09161EB40,,,*,5,4,UW,10886,"Flying",,,false,false,one,https://scryfall.com/card/one/198/cephalopod-sentry?utm_source=api,legal,legal,legal,legal,legal,legal,legal,legal,legal,not_legal,legal,not_legal,legal,legal,legal,legal,legal,restricted,legal,not_legal,not_legal,not_legal,2024-02-06T13:01:11.766-09:00
